strace: option requires an argument -- 'p'
Try 'strace -h' for more information.
Picked up JAVA_TOOL_OPTIONS:  -javaagent:/home/elastic/elastic-apm-agent-1.30.1.jar -Delastic.apm.log_ecs_reformatting=OVERRIDE
[pid   209] 1652626335.742768 stat("/app/javax/annotation/Nullable.class", 0x7feb570d7910) = -1 ENOENT (No such file or directory) <0.000031>
[pid   209] 1652626335.743397 stat("/app/net/bytebuddy/asm/Advice$OnMethodEnter.class", 0x7feb570d7910) = -1 ENOENT (No such file or directory) <0.000054>
[pid   209] 1652626335.764159 stat("/app/net/bytebuddy/asm/Advice$AssignReturned$ToReturned.class", 0x7feb570d7910) = -1 ENOENT (No such file or directory) <0.000031>
[pid   209] 1652626335.765363 stat("/app/net/bytebuddy/asm/Advice$OnMethodExit.class", 0x7feb570d7910) = -1 ENOENT (No such file or directory) <0.000030>
[pid   209] 1652626335.809247 stat("/app/net/bytebuddy/asm/Advice$This.class", 0x7feb570d75d0) = -1 ENOENT (No such file or directory) <0.000029>
[pid   209] 1652626335.818355 stat("/app/co/elastic/apm/agent/bci/bytebuddy/SimpleMethodSignatureOffsetMappingFactory$SimpleMethodSignature.class", 0x7feb570d75d0) = -1 ENOENT (No such file or directory) <0.000029>
[pid   209] 1652626335.827113 stat("/app/net/bytebuddy/asm/Advice$Enter.class", 0x7feb570d7870) = -1 ENOENT (No such file or directory) <0.000028>
[pid   209] 1652626335.828207 stat("/app/net/bytebuddy/asm/Advice$Thrown.class", 0x7feb570d7870) = -1 ENOENT (No such file or directory) <0.000027>
[pid   209] 1652626336.028723 stat("/app/co/elastic/apm/agent/bbwarmup/WarmupInstrumentation$AdviceClass.class", 0x7feb570d7ac0) = -1 ENOENT (No such file or directory) <0.000029>
[pid   209] 1652626336.030102 stat("/app/javax/annotation/Nullable.class", 0x7feb570d7910) = -1 ENOENT (No such file or directory) <0.000027>
[pid   209] 1652626336.030677 stat("/app/net/bytebuddy/asm/Advice$OnMethodEnter.class", 0x7feb570d7910) = -1 ENOENT (No such file or directory) <0.000030>
