key,className,methodName,methodSignature,exceptionType,exceptionIndexNumber,lineIndexNumber,countdown,rate,mode,covered,run times in normal,run times in injection,injection captured in the business log,successfully send the mail,exit status,process cpu time(in seconds),average memory usage(in MB),peak thread count,handledBy,distance,stackHeight,foPoint
64E7F1AFAEC1B4D234ABDFA0DE813DCD,com/hs/mail/mailet/LocalDelivery,service,(Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,javax/mail/MessagingException,0,91,1,1,off,yes,1,1; normal: 0,-,true,-,688,11,27,com/hs/mail/smtp/spool/SmtpMessageConsumer/processMessage - (Lcom/hs/mail/smtp/message/SmtpMessage;)V,1,8,com/hs/mail/mailet/LocalDelivery/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V
4A6024882DB6AFE1C3F4B59DF0D4C37E,com/hs/mail/mailet/RemoteDelivery,service,(Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,javax/mail/MessagingException,0,135,1,1,off,yes,1,1; normal: 0,-,true,-,677,11,27,com/hs/mail/smtp/spool/SmtpMessageConsumer/processMessage - (Lcom/hs/mail/smtp/message/SmtpMessage;)V,1,8,com/hs/mail/mailet/RemoteDelivery/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V
0743678D228B0B7F5AD37515045ABD89,com/hs/mail/mailet/RemoteDelivery,service,(Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,javax/mail/MessagingException,0,136,1,1,off,yes,1,1; normal: 0,-,true,-,684,11,27,com/hs/mail/smtp/spool/SmtpMessageConsumer/processMessage - (Lcom/hs/mail/smtp/message/SmtpMessage;)V,1,8,com/hs/mail/mailet/RemoteDelivery/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V
01DEB456935CA77818011FCA8BC954DE,com/hs/mail/mailet/RemoteDelivery,service,(Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,javax/mail/MessagingException,0,151,1,1,off,yes,1,1; normal: 0,-,true,-,693,12,27,com/hs/mail/smtp/spool/SmtpMessageConsumer/processMessage - (Lcom/hs/mail/smtp/message/SmtpMessage;)V,1,8,com/hs/mail/mailet/RemoteDelivery/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V
C3981DD8A39F347024FE3CDA32118FC9,com/hs/mail/mailet/RemoteDelivery,service,(Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,javax/mail/MessagingException,0,152,1,1,off,yes,1,1; normal: 0,-,true,-,699,11,27,com/hs/mail/smtp/spool/SmtpMessageConsumer/processMessage - (Lcom/hs/mail/smtp/message/SmtpMessage;)V,1,8,com/hs/mail/mailet/RemoteDelivery/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V
4AD0F7E2E10E1FA330E46BE9ADA5359D,com/hs/mail/imap/message/MailMessage,getInputStream,()Ljava/io/InputStream;,java/io/IOException,0,66,1,1,off,yes,1,1; normal: 0,-,false,-,774,11,27,com/hs/mail/mailet/ToRepository/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,3,12,com/hs/mail/imap/message/MailMessage/getInputStream - ()Ljava/io/InputStream;
4AD0F7E2E10E1FA330E46BE9ADA5359D,com/hs/mail/imap/message/MailMessage,getInputStream,()Ljava/io/InputStream;,java/io/IOException,0,66,1,1,off,yes,1,1; normal: 0,-,false,-,774,11,27,com/hs/mail/mailet/ToRepository/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,3,12,com/hs/mail/mailet/ToRepository/saveMessage - (Ljava/lang/String;Lcom/hs/mail/imap/message/MailMessage;)V
4AD0F7E2E10E1FA330E46BE9ADA5359D,com/hs/mail/imap/message/MailMessage,getInputStream,()Ljava/io/InputStream;,java/io/IOException,0,66,1,1,off,yes,1,1; normal: 0,-,false,-,774,11,27,com/hs/mail/mailet/ToRepository/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,3,12,com/hs/mail/mailet/ToRepository/deliver - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V
AAFEB1AC7C7A0095773556B8303FBDAC,com/hs/mail/imap/message/MailMessage,save,(Ljava/io/InputStream;)V,java/io/IOException,0,79,1,1,off,yes,1,1; normal: 0,-,false,-,759,11,27,com/hs/mail/mailet/ToRepository/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,3,12,com/hs/mail/imap/message/MailMessage/save - (Ljava/io/InputStream;)V
AAFEB1AC7C7A0095773556B8303FBDAC,com/hs/mail/imap/message/MailMessage,save,(Ljava/io/InputStream;)V,java/io/IOException,0,79,1,1,off,yes,1,1; normal: 0,-,false,-,759,11,27,com/hs/mail/mailet/ToRepository/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,3,12,com/hs/mail/mailet/ToRepository/saveMessage - (Ljava/lang/String;Lcom/hs/mail/imap/message/MailMessage;)V
AAFEB1AC7C7A0095773556B8303FBDAC,com/hs/mail/imap/message/MailMessage,save,(Ljava/io/InputStream;)V,java/io/IOException,0,79,1,1,off,yes,1,1; normal: 0,-,false,-,759,11,27,com/hs/mail/mailet/ToRepository/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,3,12,com/hs/mail/mailet/ToRepository/deliver - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V
11EC3A27391118D7A94582D19B2BB8E9,com/hs/mail/imap/message/MailMessage,save,(Ljava/io/InputStream;)V,java/io/IOException,0,80,1,1,off,yes,1,1; normal: 0,-,false,-,767,13,27,com/hs/mail/mailet/ToRepository/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,3,12,com/hs/mail/imap/message/MailMessage/save - (Ljava/io/InputStream;)V
11EC3A27391118D7A94582D19B2BB8E9,com/hs/mail/imap/message/MailMessage,save,(Ljava/io/InputStream;)V,java/io/IOException,0,80,1,1,off,yes,1,1; normal: 0,-,false,-,767,13,27,com/hs/mail/mailet/ToRepository/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,3,12,com/hs/mail/mailet/ToRepository/saveMessage - (Ljava/lang/String;Lcom/hs/mail/imap/message/MailMessage;)V
11EC3A27391118D7A94582D19B2BB8E9,com/hs/mail/imap/message/MailMessage,save,(Ljava/io/InputStream;)V,java/io/IOException,0,80,1,1,off,yes,1,1; normal: 0,-,false,-,767,13,27,com/hs/mail/mailet/ToRepository/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,3,12,com/hs/mail/mailet/ToRepository/deliver - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V
5ED7EEA572A25292B7BCE5C126DD25F8,com/hs/mail/imap/message/MailMessage,save,(Ljava/io/InputStream;)V,java/io/IOException,0,85,1,1,off,yes,1,1; normal: 0,-,true,-,789,11,27,com/hs/mail/mailet/ToRepository/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,3,12,com/hs/mail/imap/message/MailMessage/save - (Ljava/io/InputStream;)V
5ED7EEA572A25292B7BCE5C126DD25F8,com/hs/mail/imap/message/MailMessage,save,(Ljava/io/InputStream;)V,java/io/IOException,0,85,1,1,off,yes,1,1; normal: 0,-,true,-,789,11,27,com/hs/mail/mailet/ToRepository/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,3,12,com/hs/mail/mailet/ToRepository/saveMessage - (Ljava/lang/String;Lcom/hs/mail/imap/message/MailMessage;)V
